Date,Ticker,Weights
2016-12-30,ABF LN Equity,-0.005148
2016-12-30,ABI BB Equity,-0.005389
2016-12-30,ONTEX BB Equity,-0.005524
2016-12-30,LISN SW Equity,-0.006145
2016-12-30,DIA SQ Equity,-0.006899
2016-12-30,HMB SS Equity,-0.001604
2016-12-30,AA/ LN Equity,-0.001839
2016-12-30,AMEAS FH Equity,-0.001929
2016-12-30,MERL LN Equity,-0.002165
2016-12-30,LUX IM Equity,-0.002314
2016-12-30,WMH LN Equity,-0.002584
2016-12-30,UHR SW Equity,-0.002879
2016-12-30,BTRW LN Equity,-0.003077
2016-12-30,PSON LN Equity,-0.003119
2016-12-30,PNDORA DC Equity,-0.003485
2016-12-30,RNO FP Equity,-0.003585
2016-12-30,TW/ LN Equity,-0.004083
2016-12-30,FLTR ID Equity,-0.004194
2016-12-30,BME LN Equity,-0.004262
2016-12-30,SNH GY Equity,-0.004574
2016-12-30,SMWH LN Equity,-0.004915
2016-12-30,AC FP Equity,-0.005195
2016-12-30,2578464D GY Equity,-0.005373
2016-12-30,WTB LN Equity,-0.005644
2016-12-30,BOSS GY Equity,-0.005683
2016-12-30,KINDSDB SS Equity,-0.005907
2016-12-30,INCH LN Equity,-0.006202
2016-12-30,CON GY Equity,-0.006379
2016-12-30,CURY LN Equity,-0.007031
2016-12-30,NXT LN Equity,-0.007684
2016-12-30,BKG LN Equity,-0.008057
2016-12-30,GNK LN Equity,-0.008918
2016-12-30,TTE FP Equity,-0.002126
2016-12-30,RDSA NA Equity,-0.002314
2016-12-30,VPK NA Equity,-0.002681
2016-12-30,PFC LN Equity,-0.003389
2016-12-30,AMFW LN Equity,-0.005274
2016-12-30,ENI IM Equity,-0.00565
2016-12-30,BOL FP Equity,-0.007347
2016-12-30,SPM IM Equity,-0.008683
2016-12-30,GBLB BB Equity,-0.000798
2016-12-30,TOP DC Equity,-0.000863
2016-12-30,SAMPO FH Equity,-0.000875
2016-12-30,BEZ LN Equity,-0.000999
2016-12-30,PARG SE Equity,-0.001009
2016-12-30,HNR1 GY Equity,-0.001084
2016-12-30,HSX LN Equity,-0.001142
2016-12-30,BBVA SQ Equity,-0.001279
2016-12-30,OML LN Equity,-0.001371
2016-12-30,AV/ LN Equity,-0.00138
2016-12-30,MB IM Equity,-0.001388
2016-12-30,KINVB SS Equity,-0.001433
2016-12-30,SCR FP Equity,-0.0016
2016-12-30,TRYG DC Equity,-0.001616
2016-12-30,HBAN SE Equity,-0.001667
2016-12-30,AGS BB Equity,-0.002028
2016-12-30,PHNX LN Equity,-0.002167
2016-12-30,GJF NO Equity,-0.002226
2016-12-30,SAGA LN Equity,-0.002228
2016-12-30,CSGN SW Equity,-0.002314
2016-12-30,ISP IM Equity,-0.002685
2016-12-30,ADN LN Equity,-0.003046
2016-12-30,ENX FP Equity,-0.00319
2016-12-30,DBK GY Equity,-0.003367
2016-12-30,LLOY LN Equity,-0.003499
2016-12-30,DLG LN Equity,-0.003631
2016-12-30,HGG LN Equity,-0.003731
2016-12-30,G IM Equity,-0.00384
2016-12-30,CBK GY Equity,-0.004129
2016-12-30,PST IM Equity,-0.004208
2016-12-30,RF FP Equity,-0.004236
2016-12-30,KOMB CK Equity,-0.004663
2016-12-30,NWG LN Equity,-0.004758
2016-12-30,HL/ LN Equity,-0.005466
2016-12-30,SAB SQ Equity,-0.005563
2016-12-30,BPE IM Equity,-0.005966
2016-12-30,BIRG ID Equity,-0.006223
2016-12-30,EMG LN Equity,-0.006999
2016-12-30,AZM IM Equity,-0.007775
2016-12-30,UCG IM Equity,-0.01014
2016-12-30,UBI IM Equity,-0.013609
2016-12-30,PMI IM Equity,-0.014067
2016-12-30,BP IM Equity,-0.014873
2016-12-30,POP SQ Equity,-0.016253
2016-12-30,LEG GY Equity,-0.002071
2016-12-30,UL NA Equity,-0.00274
2016-12-30,INTU LN Equity,-0.003011
2016-12-30,LAND LN Equity,-0.003405
2016-12-30,LI FP Equity,-0.003551
2016-12-30,WHA NA Equity,-0.004061
2016-12-30,BLND LN Equity,-0.004069
2016-12-30,GPE LN Equity,-0.004837
2016-12-30,SHC LN Equity,-0.00763
2016-12-30,DLN LN Equity,-0.008194
2016-12-30,IWG LN Equity,-0.01011
2016-12-30,SECUB SS Equity,-0.001035
2016-12-30,SAF FP Equity,-0.00121
2016-12-30,FRA GY Equity,-0.001343
2016-12-30,KNEBV FH Equity,-0.001379
2016-12-30,AM FP Equity,-0.001774
2016-12-30,ACKB BB Equity,-0.001844
2016-12-30,NIBEB SS Equity,-0.001869
2016-12-30,WRT1V FH Equity,-0.001963
2016-12-30,INTRUM SS Equity,-0.002005
2016-12-30,MAN GY Equity,-0.0022
2016-12-30,WKL NA Equity,-0.00222
2016-12-30,FGR FP Equity,-0.002274
2016-12-30,DCC LN Equity,-0.002333
2016-12-30,LHA GY Equity,-0.002458
2016-12-30,BAB LN Equity,-0.002515
2016-12-30,ASSAB SS Equity,-0.002572
2016-12-30,DG FP Equity,-0.002609
2016-12-30,SGSN SW Equity,-0.002671
2016-12-30,QQ/ LN Equity,-0.002716
2016-12-30,BNZL LN Equity,-0.002758
2016-12-30,VWS DC Equity,-0.002763
2016-12-30,IDS LN Equity,-0.002796
2016-12-30,AALB NA Equity,-0.002907
2016-12-30,FGP LN Equity,-0.003203
2016-12-30,RENT NA Equity,-0.003228
2016-12-30,ALFA SS Equity,-0.00339
2016-12-30,KNIN SW Equity,-0.003432
2016-12-30,ZC FP Equity,-0.003687
2016-12-30,ISS DC Equity,-0.003722
2016-12-30,ATK LN Equity,-0.003867
2016-12-30,BVI FP Equity,-0.004246
